pattern	constr_id	form	correct_number	cls_noun_num	cls_token_num	fst_noun_num	com_num	prefix	len_prefix	len_context	que_index	freq	sent	pos
obj_aux_PP	0	signalé	sing	sing	plur	sing	sing	""" --Je crois que c' est un peu sévère , et qu' on peut pardonner la licence que s' est permise votre élève ; mais il est important que le jury soit éclairé sur le genre de mérite que vous avez"	41	6	39	596	""" --Je crois que c' est un peu sévère , et qu' on peut pardonner la licence que s' est permise votre élève ; mais il est important que le jury soit éclairé sur le genre de mérite que vous avez signalé , et que l' exécution au piano ne nous a pas laissé apercevoir . <eos>"	PUNCT INTJ VERB SCONJ PRON AUX DET ADV ADJ PUNCT CCONJ SCONJ PRON VERB VERB DET NOUN PRON PRON AUX VERB DET NOUN PUNCT CCONJ PRON AUX ADJ SCONJ DET NOUN AUX VERB ADP DET NOUN ADP NOUN PRON PRON AUX VERB PUNCT CCONJ PRON DET NOUN ADP NOUN ADV PRON AUX ADV VERB VERB PUNCT
obj_aux_PP	1	opéré	sing	sing	plur	sing	sing	""" --Monsieur le docteur , lui dit le vieillard , je suis le pauvre curé de campagne que vous avez"	20	6	18	413	""" --Monsieur le docteur , lui dit le vieillard , je suis le pauvre curé de campagne que vous avez opéré et guéri il y a déjà bien des semaines ; jamais je n' ai joui d' une santé plus solide qu' aujourd' hui , et j' ai voulu vous en donner la preuve en vous apportant moi-même des fruits de mon jardin que je vous prie d' accepter en souvenir d' une cure merveilleuse que vous avez faite et d' une bonne action dont Dieu vous est redevable en ma personne "" . "" Dupuytren prit la main du vieillard ; c' était la troisième fois que le même homme l' avait ému jusqu' au fond des entrailles "" . <eos>"	PUNCT PUNCT DET NOUN PUNCT PRON VERB DET NOUN PUNCT PRON AUX DET ADJ NOUN ADP NOUN PRON PRON AUX VERB CCONJ VERB PRON PRON VERB ADV ADV DET NOUN PUNCT ADV PRON ADV AUX VERB ADP DET NOUN ADV ADJ SCONJ ADV ADV PUNCT CCONJ PRON AUX VERB PRON PRON VERB DET NOUN ADP PRON VERB PRON DET NOUN ADP DET NOUN PRON PRON PRON VERB ADP VERB ADP NOUN ADP DET NOUN ADJ PRON PRON AUX VERB CCONJ ADP DET ADJ NOUN PRON PROPN PRON AUX ADJ ADP DET NOUN PUNCT PUNCT PUNCT PROPN VERB DET NOUN DET NOUN PUNCT PRON AUX DET ADJ NOUN SCONJ DET ADJ NOUN PRON AUX VERB ADP ADP NOUN DET NOUN PUNCT PUNCT
obj_aux_PP	2	cru	sing	sing	sing	plur	sing	""" Ainsi donc , pendant vos angoisses de l' an dernier , vous pensiez à nous , à ce point de réaliser ce projet de maison que j' avais"	29	6	27	1006	""" Ainsi donc , pendant vos angoisses de l' an dernier , vous pensiez à nous , à ce point de réaliser ce projet de maison que j' avais cru n' être qu' une idée en l' air ? <eos>"	PUNCT ADV ADV PUNCT ADP DET NOUN ADP DET NOUN ADJ PUNCT PRON VERB ADP PRON PUNCT ADP DET NOUN ADP VERB DET NOUN ADP NOUN PRON PRON AUX VERB ADV AUX ADV DET NOUN ADP DET NOUN PUNCT
obj_aux_PP	3	vu	sing	sing	sing	none	sing	""" Apportez ici le pâté de gibier que j' ai"	10	6	8	7548	""" Apportez ici le pâté de gibier que j' ai vu ce matin dans l' office "" , dit la signora , et deux minutes après le domestique reparut avec un pâté colossal , qu' à un signe de sa maîtresse il posa majestueusement sur le piano . <eos>"	PUNCT VERB ADV DET NOUN ADP NOUN PRON PRON AUX VERB DET NOUN ADP DET NOUN PUNCT PUNCT VERB DET NOUN PUNCT CCONJ NUM NOUN ADV DET NOUN VERB ADP DET NOUN ADJ PUNCT PRON ADP DET NOUN ADP DET NOUN PRON VERB ADV ADP DET NOUN PUNCT
obj_aux_PP	4	rapportés	plur	sing	sing	sing	sing	""" Au Conseil des ministres , a-t-il ajouté , j' ai exposé les désavantages et les avantages de deux projets de convention que j' ai"	25	6	23	332	""" Au Conseil des ministres , a-t-il ajouté , j' ai exposé les désavantages et les avantages de deux projets de convention que j' ai rapportés de Paris , les instructions du Roi et les volontés de Sa Majesté impériale . <eos>"	PUNCT ADP NOUN DET NOUN PUNCT PRON VERB PUNCT PRON AUX VERB DET NOUN CCONJ DET NOUN ADP NUM NOUN ADP NOUN PRON PRON AUX VERB ADP PROPN PUNCT DET NOUN DET NOUN CCONJ DET NOUN ADP DET PROPN ADJ PUNCT
obj_aux_PP	5	suivie	sing	sing	sing	sing	sing	""" Au lieu de proposer , comme à ce dernier , de chercher les moyens de s' entendre et d' essayer d' arriver à la pacification de la péninsule par la voie de la conciliation , M. de Zéa aurait , au contraire , déclaré à M. Addington que l' Espagne ne s' écarterait en rien de la ligne de conduite qu' elle a"	64	6	62	2185	""" Au lieu de proposer , comme à ce dernier , de chercher les moyens de s' entendre et d' essayer d' arriver à la pacification de la péninsule par la voie de la conciliation , M. de Zéa aurait , au contraire , déclaré à M. Addington que l' Espagne ne s' écarterait en rien de la ligne de conduite qu' elle a suivie jusqu' à présent dans les affaires de Portugal , et que , pour sa part , il était décidé à s' y maintenir . <eos>"	PUNCT ADP NOUN ADP VERB PUNCT SCONJ ADP DET ADJ PUNCT ADP VERB DET NOUN ADP PRON VERB CCONJ ADP VERB ADP VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN ADP PROPN AUX PUNCT ADP NOUN PUNCT VERB ADP NOUN PROPN SCONJ DET PROPN ADV PRON VERB ADP PRON ADP DET NOUN ADP NOUN PRON PRON AUX VERB ADP ADP NOUN ADP DET NOUN ADP PROPN PUNCT CCONJ SCONJ PUNCT ADP DET NOUN PUNCT PRON AUX VERB ADP PRON PRON VERB PUNCT
obj_aux_PP	6	faites	plur	sing	sing	sing	sing	""" C' est renoncer au bénéfice des cavernes sombres d' où elle exerce une inquisition si sévère dans les maisons de verre qu' elle a"	25	6	23	2676	""" C' est renoncer au bénéfice des cavernes sombres d' où elle exerce une inquisition si sévère dans les maisons de verre qu' elle a faites à tous ceux qui ne sont pas avec elle . <eos>"	PUNCT PRON VERB VERB ADP NOUN DET NOUN ADJ ADP ADV PRON VERB DET NOUN ADV ADJ ADP DET NOUN ADP NOUN PRON PRON AUX VERB ADP DET PRON PRON ADV VERB ADV ADP PRON PUNCT
obj_aux_PP	7	mise	sing	sing	sing	sing	sing	""" C' est une petite expérience ... une mesure de prévoyance que j' ai"	14	6	12	19681	""" C' est une petite expérience ... une mesure de prévoyance que j' ai mise en usage ... <eos>"	PUNCT PRON AUX DET ADJ NOUN PUNCT DET NOUN ADP NOUN PRON PRON AUX VERB ADP NOUN PUNCT
obj_aux_PP	8	découvert	sing	sing	sing	none	sing	""" Ce fut le premier mouvement d' humeur qu' on eût"	11	6	9	3045	""" Ce fut le premier mouvement d' humeur qu' on eût découvert en elle . <eos>"	PUNCT PRON AUX DET ADJ NOUN ADP NOUN PRON PRON AUX VERB ADP PRON PUNCT
obj_aux_PP	9	habitée	sing	plur	sing	sing	sing	""" Ce matin , dans une promenade solitaire , j' ai poussé jusqu' à , la hutte en ruines qu' elle a"	22	6	20	475	""" Ce matin , dans une promenade solitaire , j' ai poussé jusqu' à , la hutte en ruines qu' elle a habitée avec le naufragé . <eos>"	PUNCT DET NOUN PUNCT ADP DET NOUN ADJ PUNCT PRON AUX VERB ADP ADP PUNCT DET NOUN ADP NOUN PRON PRON AUX VERB ADP DET NOUN PUNCT
obj_aux_PP	10	trouvées	plur	sing	plur	none	sing	""" Ce n' est pas tout , leur dis-je , il faut aller dénicher nos boîtes de miel que nous avons"	21	6	19	671	""" Ce n' est pas tout , leur dis-je , il faut aller dénicher nos boîtes de miel que nous avons trouvées hier , et regarder en l' air pour découvrir des boîtes après les gros sapins "" . La découverte fut riche ; plus de cent boîtes furent trouvées remplies de viandes salées , de linge et de miel . <eos>"	PUNCT PRON ADV AUX ADV PRON PUNCT PRON PRON PUNCT PRON VERB VERB VERB DET NOUN ADP NOUN PRON PRON AUX VERB ADV PUNCT CCONJ VERB ADP DET NOUN ADP VERB DET NOUN ADP DET ADJ NOUN PUNCT PUNCT DET NOUN AUX ADJ PUNCT ADV ADP NUM NOUN AUX VERB VERB ADP NOUN ADJ PUNCT ADP NOUN CCONJ ADP NOUN PUNCT
obj_aux_PP	11	renvoyée	sing	sing	plur	none	sing	""" Ce sera la femme de chambre que vous avez"	10	6	8	191	""" Ce sera la femme de chambre que vous avez renvoyée l' année dernière "" . <eos>"	PUNCT PRON AUX DET NOUN ADP NOUN PRON PRON AUX VERB DET NOUN ADJ PUNCT PUNCT
obj_aux_PP	12	trouvé	sing	sing	sing	sing	sing	""" Ce soir ( 6 octobre ) , écrit Bombelles , étant chez Mme de Polignac , j' avais apporté à Mme de Guiche un air d' allemande qu' elle avait"	31	6	29	3308	""" Ce soir ( 6 octobre ) , écrit Bombelles , étant chez Mme de Polignac , j' avais apporté à Mme de Guiche un air d' allemande qu' elle avait trouvé joli ; je le lui faisais exécuter au piano , tandis que la Reine , de moitié avec Mme de Luynes , jouait au tric-trac avec le baron de Bezenval . <eos>"	PUNCT DET NOUN PUNCT NUM NOUN PUNCT PUNCT VERB PROPN PUNCT VERB ADP NOUN ADP PROPN PUNCT PRON AUX VERB ADP NOUN ADP PROPN DET NOUN ADP NOUN PRON PRON AUX VERB ADJ PUNCT PRON PRON PRON AUX VERB ADP NOUN PUNCT ADV SCONJ DET PROPN PUNCT ADP NOUN ADP NOUN ADP PROPN PUNCT VERB ADP NOUN ADP DET NOUN ADP PROPN PUNCT
obj_aux_PP	13	mené	sing	sing	sing	sing	sing	""" Cette infernale créature porte le malheur à sa suite et le répand partout où elle va , dit-il , sans autres égards pour mistress Rawdon ; qui sait le genre de vie qu' elle a"	36	6	34	1869	""" Cette infernale créature porte le malheur à sa suite et le répand partout où elle va , dit-il , sans autres égards pour mistress Rawdon ; qui sait le genre de vie qu' elle a mené depuis que nous l' avons perdue de vue ? <eos>"	PUNCT DET ADJ NOUN VERB DET NOUN ADP DET NOUN CCONJ PRON VERB ADV ADV PRON VERB PUNCT PRON PUNCT ADP ADJ NOUN ADP X PROPN PUNCT PRON VERB DET NOUN ADP NOUN PRON PRON AUX VERB ADV SCONJ PRON PRON AUX VERB ADP NOUN PUNCT
obj_aux_PP	14	acheté	sing	sing	sing	sing	sing	""" Cette nuit-là , du moins , me dis-je serai son hôte comme je suis son enfant ; ma mère me logera sans me demander le prix de son bienfait "" . Il me restait encore un morceau de pain que j' avais"	43	6	41	1107	""" Cette nuit-là , du moins , me dis-je serai son hôte comme je suis son enfant ; ma mère me logera sans me demander le prix de son bienfait "" . Il me restait encore un morceau de pain que j' avais acheté avec mon dernier argent , dans une ville où nous passions à la nuit tombante ; je vis ça et là des mûres noires et brillantes comme des perles de jais ; j' en cueillis une poignée que je mangeai avec mon pain . <eos>"	PUNCT DET NOUN PUNCT ADV ADV PUNCT PRON PRON AUX DET NOUN SCONJ PRON AUX DET NOUN PUNCT DET NOUN PRON VERB ADP PRON VERB DET NOUN ADP DET NOUN PUNCT PUNCT PRON PRON VERB ADV DET NOUN ADP NOUN PRON PRON AUX VERB ADP DET ADJ NOUN PUNCT ADP DET NOUN ADV PRON VERB ADP DET NOUN ADJ PUNCT PRON VERB ADV CCONJ ADV DET NOUN ADJ CCONJ ADJ ADP DET NOUN ADP NOUN PUNCT PRON PRON VERB DET NOUN PRON PRON VERB ADP DET NOUN PUNCT
