pattern	constr_id	form	correct_number	cls_token_num	attr	len2_nsubj	len_prefix	len_context	que_id	freq	rel_nsubj_inversed	sent	pos
subj_rel_verb	0	doit	sing	plur	False	4	10	6	7	30852	False	""" Ainsi donc le mouvement de substance que nous appelons doit être attribué qu' à Dieu , tant dans les créations premières que dans les créations dernières . <eos>"	PUNCT ADV ADV DET NOUN ADP NOUN PRON PRON VERB VERB AUX VERB ADV ADP PROPN PUNCT ADV ADP DET NOUN ADJ SCONJ ADP DET NOUN ADJ PUNCT
subj_rel_aux	1	a	sing	sing	False	7	13	6	10	355555	False	""" Heureusement pour l' homme , cette pensée de Dieu qu' il ignore a présidé à la création de son être avec autant de soin et d' amour qu' à celle de l' univers . <eos>"	PUNCT ADV ADP DET NOUN PUNCT DET NOUN ADP PROPN PRON PRON VERB AUX VERB ADP DET NOUN ADP DET NOUN ADP ADV ADP NOUN CCONJ ADP NOUN SCONJ ADP PRON ADP DET NOUN PUNCT
subj_rel_verb	2	puisse	sing	plur	False	34	40	6	37	3585	False	""" Lao-Shen , dit Kin-Fo , je te donnerai , sur le banquier qui te conviendra et dans la ville que tu choisiras , un mandat qui sera payé intégralement , sans que l' homme de confiance que tu enverras puisse être inquiété à cet égard ! "" <eos>"	PUNCT PROPN PUNCT VERB PROPN PUNCT PRON PRON VERB PUNCT ADP DET NOUN PRON PRON VERB CCONJ ADP DET NOUN PRON PRON VERB PUNCT DET NOUN PRON AUX VERB ADV PUNCT ADP SCONJ DET NOUN ADP NOUN PRON PRON VERB VERB AUX VERB ADP DET NOUN PUNCT PUNCT
subj_rel_verb	3	restait	sing	sing	False	11	17	6	14	1186	False	""" Le pionnier avait perdu tout son bagage , seule sa ceinture de cuir qu' il portait restait , et la ceinture contenait encore quelques beaux dollars . <eos>"	PUNCT DET NOUN AUX VERB ADJ DET NOUN PUNCT ADJ DET NOUN ADP NOUN PRON PRON VERB VERB PUNCT CCONJ DET NOUN VERB ADV DET ADJ NOUN PUNCT
subj_rel_aux	4	est	sing	plur	False	31	37	6	34	884505	False	""" Madame , lui dis-je , l' amour unit toutes choses quand il s' empare d' un cœur ; il en bannit toutes les craintes et les scrupules , et cette sorte d' inégalité que vous condamnez est comptée pour rien entre les amants . <eos>"	PUNCT NOUN PUNCT PRON PRON PUNCT DET NOUN VERB DET NOUN SCONJ PRON PRON VERB ADP DET NOUN PUNCT PRON PRON VERB ADJ DET NOUN CCONJ DET NOUN PUNCT CCONJ DET NOUN ADP NOUN PRON PRON VERB AUX VERB ADP PRON ADP DET NOUN PUNCT
subj_rel_aux	5	était	sing	sing	False	70	76	6	73	88321	False	""" Nos pauvres Bas-Bretons ( mande-t-elle à sa fille quand elle fut arrivée au terme de son voyage ) s' attroupent quarante , cinquante par les champs ; et dès qu' ils voient les soldats ils se jettent à genoux , et disent _ Mea culpa _ ; c' est le seul mot de _ français _ qu' ils sachent , comme nos Français disaient qu' en Allemagne le seul mot de latin qu' on disait était _ Kyrie , eleison _ . <eos>"	PUNCT DET ADJ PROPN PUNCT PRON ADP DET NOUN SCONJ PRON AUX VERB ADP NOUN ADP DET NOUN PUNCT PRON VERB NUM PUNCT NUM ADP DET NOUN PUNCT CCONJ ADP SCONJ PRON VERB DET NOUN PRON PRON VERB ADP NOUN PUNCT CCONJ VERB PUNCT X X PUNCT PUNCT PRON AUX DET ADJ NOUN ADP PUNCT ADJ PUNCT PRON PRON VERB PUNCT SCONJ DET NOUN VERB SCONJ ADP PROPN DET ADJ NOUN ADP NOUN PRON PRON VERB AUX PUNCT PROPN PUNCT NOUN PUNCT PUNCT
subj_rel_aux	6	seront	plur	sing	True	3	9	6	6	7639	False	""" Quand les lettres de crédit que j' attends seront arrivées , j' espère que vous voudrez bien vous charger de les réaliser en numéraire ; autrement il me faudra avoir recours à Malte , ce qui m' occasionera une perte de tems et un surcroît de peine ; mais je ne veux pas néanmoins que vous fassiez plus qu' il ne vous conviendra parfaitement , à vous et à M. Barff , de faire pour moi . <eos>"	PUNCT SCONJ DET NOUN ADP NOUN PRON PRON VERB AUX VERB PUNCT PRON VERB SCONJ PRON VERB ADV PRON VERB ADP PRON VERB ADP NOUN PUNCT ADV PRON PRON VERB VERB NOUN ADP PROPN PUNCT PRON PRON PRON VERB DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT CCONJ PRON ADV VERB ADV ADV SCONJ PRON VERB ADV SCONJ PRON ADV PRON VERB ADV PUNCT ADP PRON CCONJ ADP NOUN PROPN PUNCT ADP VERB ADP PRON PUNCT
subj_rel_verb	7	menait	sing	sing	False	14	20	6	17	253	False	""" Quoi , s' empresse-t-on de lui répondre , vous ignorez que cette belle marquise de Saverny qu' on voulait menait tout doucement quatre intrigues à-la-fois ? <eos>"	PUNCT PRON PUNCT PRON PRON ADP PRON VERB PUNCT PRON VERB SCONJ DET ADJ NOUN ADP PROPN PRON PRON VERB VERB ADV ADV NUM NOUN ADV PUNCT
subj_rel_aux	8	est	sing	plur	True	11	17	6	14	884505	False	""" Seigneur don Cléofas , lui dit le diable , cette confusion d' objets que vous regardez est , à la vérité , très agréable à contempler ; mais ce n' est qu' un amusement frivole . <eos>"	PUNCT NOUN NOUN PROPN PUNCT PRON VERB DET NOUN PUNCT DET NOUN ADP NOUN PRON PRON VERB AUX PUNCT ADP DET NOUN PUNCT ADV ADJ ADP VERB PUNCT CCONJ PRON ADV AUX ADV DET NOUN ADJ PUNCT
subj_rel_verb	9	fait	sing	sing	False	73	79	6	76	112263	False	""" Tel , dit Horace , met son bonheur à se couvrir de la poussière du cirque , tel autre met le sien à entasser dans ses greniers toutes les moissons de la Lybie ; --celui-ci ne sera heureux que , si la faveur d' un peuple inconstant l' élève aux honneurs , celui-là veut le bruit des camps , le choc des armes et le son des clairons ; --moi , la couronne de lierre qu' on donne fait l' égal des dieux--et , si Mæcenas me donne un rang parmi eux , mon front touchera le ciel "" . ( _ Horace . _ ) <eos>"	PUNCT PROPN PUNCT VERB PROPN PUNCT VERB DET NOUN ADP PRON VERB ADP DET NOUN ADP NOUN PUNCT DET PRON VERB DET PRON ADP VERB ADP DET NOUN ADJ DET NOUN ADP DET PROPN PUNCT PRON ADV AUX ADJ ADV PUNCT SCONJ DET NOUN ADP DET NOUN VERB PRON VERB ADP NOUN PUNCT PRON VERB DET NOUN DET NOUN PUNCT DET NOUN DET NOUN CCONJ DET NOUN DET NOUN PUNCT ADJ PUNCT DET NOUN ADP NOUN PRON PRON VERB VERB DET NOUN DET VERB PUNCT SCONJ PROPN PRON VERB DET NOUN ADP PRON PUNCT DET NOUN VERB DET NOUN PUNCT PUNCT PUNCT PUNCT PROPN PUNCT PUNCT PUNCT
